0	1936 2534 6138 563 4804 337 14 1936 2534 1257 2084 1257
1	1186 669 3764 1186 3215 165 14 1186 669 3764 6921 22615 2184
2	269 868 7610
3	1450 563 1164
4	606 606 1325 4739 14 8962 1287 4195 926 1796 7687
5	1075 14732 4634 7060 4195 14 1075 14732 4634 4195 11159
6	1022 848 18375 5043 2634
7	1757 1757 5813 2933 14 1757 1757 5813 5193 2933 1360
8	1900 1900 11034 3252 169
9	1186 1186 330 788
10	652 2695 3292 1874 2695 3292
11	557 557 2844 10740 188 3885
12	1155 1155 293 4229
13	1450 13729 252 16565 17964 1048 3544 338 2506 350 155 12269 173 14 8962 1287 4195 13945 1276
14	1075 7863 14238 173 6159 24943 1984 338 1984 4825
15	300 300 10925 8539 2764 14 300 10925 8539 993 1519
16	606 606 1325 5180 14 8962 1287 4195 926 1796 7687
17	300 300 1323 2074 14 300 1323 300 1466 868
18	269 15942 2304 3434
19	1155 815 1155 293 2581 9263 14 1155 1155 380 2581 2209 240
20	1450 5900 712 7375 10395 18 14 8962 1287 4195 926 1796 7687
21	269 868 20207 55 14 269 20207 1432 20207
22	1075 14732 4634 7060 16649 14 1075 14732 4634 16649 11159
23	557 557 1202 304 1139 337 14 557 557 2084 557 1607
24	300 300 605 5422 14 300 300 1170 300 870 712
25	652 649 155 974 650 507 233 14 652 652 1233
26	1757 1757 5813 287 158 289 339 14 1757 3340 3695 155 3340
27	1155 1155 380 937 14 1155 1155 380 4717 293
28	300 300 563
29	388 1914 388 2608 375 14 388 388 754 375 2089 673
30	269 868 16259 55 14 269 1664 16259
31	851 851 1054 1608 14 851 851 1054 7463 722
32	667 667 2884 23392 14 667 667 2485 2778 334 23392
33	2863 531 293 940 7336 14 1155 1155 293 7336 754
34	652 276 405 13285 14 8962 1287 4195 926 1796 7687
35	300 300 1549 1308
36	300 300 218 1779 14 300 300 1779 13324 1779 2317 19177
37	1075 6159 24943 7253 2874 1186 2617 1199 350 14 1075 6159 24943 7253 2874 1199 3619 6860 483 810
38	851 851 1291 1608 707 14 851 851 1291 901 722
39	300 868 188 7278 4180 157 300 1308 14 300 1323 300 1466 985 155 1466
40	1450 1984 564 192 661 564 155
41	269 8255 868 330 155 7042
42	652 2695 3292 240 985
43	1075 6159 24943 7253 2874 1186 2617 1199 350 14 1075 6159 24943 7253 2874 1199 3619 6860 2119 2844
44	1450 563 275 661 4052
45	652 2695 1171 269 165 181 1171 14 652 652 3292
46	557 557 2844 15583 14 557 557 4628 2370 163
47	300 1519 300 14 300 993 300
48	2348 22313 24340 3505 22313 24340 3505 155
49	1186 1186 932 14 1186 1186 1432 932
50	851 851 1291 1608 707 14 851 851 1291 901 1291 985
51	557 557 7857 557 8010 14 557 557 4628 2370 163
52	346 334 423 3925 14 346 334 3925 692
53	1075 14732 4634 7060 4996 14 1075 14732 4634 4996 11159
54	990 990 17939 14 990 12196 912 23528
55	851 851 722 722 6651
56	652 2695 3292 650 8904 14 652 652 1233
57	557 557 3250 1139 1745 14 557 557 2084 557 1607
58	1155 1155 293 7336 14 1751 1751 7336 754 754
59	1450 5900 712 43 1644 723 6466 157 3051 518 4503 14 8962 1287 4195 926 1796 7687
60	300 300 870 1215 55 14 300 300 1320 870 1215 300 870 712
61	388 1914 388 2608 375 14 388 388 754 375 5490 155 593
62	1155 1155 754 1024 14 294 531 531 1593 7336 754 754 55
63	1412 2026 2026 293 940 7336 14 1155 1155 293 7336 754
64	300 300 674 169
65	300 300 870 1215 55 14 300 300 1320 870 1215 300 1320 991 5027
66	300 300 14442 1308 3646 14 300 300 300 14442 1432 300
67	2348 2443 2043 4020
68	346 658 1983 1220
69	1186 1186 423 423 155 14 1186 1186 3925 1186
70	1186 16674 1186 13000 14 8962 1287 4195 926 1796 7687
71	269 15942 7283 2501
72	1075 4127 1374 257 155 6840 6840
73	1450 1984 564 563
74	1450 306 378 378 992
75	300 629 300
76	1936 2534 2516 5702 14 1936 2534 6372 10906 563
77	269 1580 155 488 269
78	1896 2329 1220
79	2863 531 293 940 7336 14 2863 531 7336 754 754
80	1075 7863 14238 173 6159 24943 1984 338 1164
81	346 334 423 3925 14 346 334 3925 334
82	346 993 692 1336 2764 14 346 334 3925 334
83	1450 13729 252 378 330 378
84	557 557 1202 304 1139 337 14 557 557 2084 6790 163
85	300 300 7520 797 169
86	652 276 491 13285 14 8962 1287 4195 926 1796 7687
87	388 3032 3366 529 14 388 388 754 375 3032 4661
88	300 300 2506 3313 14 8962 1287 4195 926 1796 7687
89	346 4742 312
90	300 300 870 1215 55 14 300 300 1320 870 1215 300 870 2501 3543
91	851 851 4321 851 1336 2074 14 851 851 1336 1323 1466 722
92	346 993 692 1336 2764 14 346 334 3925 692
93	1075 10192 14370 1414 6090 10192 4054 1450 563
94	1186 1186 2224 14 1450 3799 233 2917 261 2813
95	1450 5900 712 12161 12980 723 6466 14 8962 1287 4195 926 1796 7687
96	1450 5900 712 1338 13476 158 14 1450 15331 156 12263 13476 158
97	300 300 810
98	652 2695 3292 11655
99	388 8669 460 529 14 388 388 754 375 3032 4661
100	851 669 996 692 851 1336 1323 2074 14 851 851 1336 1323 1466 868
101	1936 2534 6138 563 4804 337 14 1936 2534 1257 2084 1936
102	557 691 155 2624 24088 12128 24840 14 557 691 155 2624 13791 24088 12128 15145
103	1075 14732 4634 7060 222 14910 1862 14 1075 14732 4634 222 14910 1862 11159
104	300 300 24811
105	557 557 2844 2939 14 557 557 2084 3250
106	1155 1155 754 1024 14 1155 1155 293 7336 293
107	3457 21603 25493 3667 4859 22246 1549 2591 14 3457 21603 25493 3667 4859 22246 2591 22246
108	1075 1605 16360 1526 881 7278 1077
109	269 15942 269
110	1751 1751 293 293 23129 14 1751 1751 293 23129 318
111	209 881 3416
112	300 300 707 169
113	300 300 300 553 1413 169
114	269 868 16259 55 14 269 1664 985 155 743
115	1936 2534 556 4804 1175 14 1936 2534 1257 2084 1257
116	557 557 3250 1139 1745 14 557 557 2084 6790 163
117	269 868 2824
118	1900 1900 11034 10749 14 1900 6271 1432 10749
119	209 881 4157 155 8756 881
120	851 851 722 851 1291 14 851 851 1291 901 1291 985
121	300 300 694 1471
122	1450 1164 155 1984 564 1164 155 14 1450 1984 564 1164 1432 1984 564
123	652 2695 1171 269 165 181 1171 14 652 652 1233
124	851 851 1369 851 1608 14 851 851 722 1369 1432 851 722
125	1186 1186 2062 2559 788
126	667 667 2485 2778 667 7839 14 667 667 2485 2778 334 23392
127	606 606 1325 2231 1473 14 8962 1287 4195 926 1796 7687
128	300 300 1393 707 169
129	269 868 1338 1130 14 269 330 1130 1450
130	652 2695 1171 269 165 181 1171 14 652 652 507 649 155 974
131	1155 1155 293 1450 937
132	652 2695 3292 4229
133	851 851 722 1336 1613 14 851 1336 851 1466 1519
134	2348 2443 2015 269 165 181 2798
135	300 300 5043
136	557 557 7857 557 8010 14 557 557 4628 557
137	300 300 346
138	1450 5900 712 12161 12980 14 8962 1287 4195 926 1796 7687
139	557 557 2844 2844 155
140	1936 2534 556 1155
141	269 868 16259 55 14 269 1664 1450 155 3250
142	3457 46 447 10417 4028 2534 556 1155
143	1450 1450 4958 1551
144	300 300 623 169
145	1936 2534 6138 563 5702 14 1936 2534 6372 10906 1936
146	652 276 3116 13285 14 8962 1287 4195 926 1796 7687
147	1075 10192 14370 1414 6090 10192 4054 1450 268
148	1075 3242 13718 1822 1879 55 18051 1613 423 1845 14 1075 3242 13718 1822 1879 55 18051 318 5599 1613 529
149	10350 7060 7060 971 14 10350 4996 924
150	10350 7060 2572 4690 14 10350 4438 1432 7060
151	1450 1450 1551
152	1936 2534 556 6138 1189
153	851 851 722 563 155 2909
154	848 6586 2921 11663 14 848 2921 11663 2844
155	300 1519 10925 8539 2764 14 300 10925 8539 993 810
156	300 726 300 993 985 300 993 985 14 300 993 300
157	810 686 810 1189 3434 157
158	557 557 7857 557 8010 14 557 557 4628 557 7857
159	1186 1186 2224 14 1450 3799 233 2917 268 1031 712
160	652 276 22279 14272 4587 156 219 25538 4587
161	346 1220 807 4002 14 346 807 4829 692
162	1075 60 9433 8850 6975 5146 9162 13435 4639 12244 8423 12647 246 609 2834 940 246 609 2834 14 1075 60 9433 8850 6975 5146 9162 13435 4639 12244 8423 12647 940 246 609 2834 940 409
163	300 300 1113 300 3416
164	606 1261 673 269 165 181 673 14 606 4249 5599 351
165	1450 13729 252 378 330 330
166	300 300 218 1779 14 300 300 1779 13324 300 1779 692
167	1155 1155 293 7336 14 294 531 531 7336 754 754
168	388 1914 388 2608 375 14 388 388 754 375 3032 4661
169	388 3032 3366 529 14 388 388 754 375 369 1575
170	851 851 722 2304
171	346 1220 4829 14 346 1559 4829 993 692
172	606 606 1325 1225
173	1450 5900 712 12161 770 14 8962 1287 8493 926 1796 16673 7687
174	1936 2534 2516 5702 14 1936 2534 6372 10906 1936
175	269 1664 743 985 7308 155 181 985 14 269 1664 1450 155 3250
176	557 557 1607 1139 337 14 557 557 2084 557 1607
177	269 868 4249 538 14 606 4249 5599 351
178	652 649 155 974 650 507 233 14 652 652 507 649 155 974
179	557 557 2370 304 557 8010 14 557 557 4628 2370 163
180	557 557 2844 2939 14 557 557 2084 557 1607
181	346 5043 4825 5043
182	1075 491 12783 5841 10367 1360 2117 957 14 1075 491 12783 5841 2117 9390 10367 863
183	1075 390 22574 948 3949 1609 1134 6198 14 1075 390 22574 948 3949 1134 4674 293
184	300 300 14255
185	1155 2516 2164 5702 14 1155 2164 1155 366 6372
186	851 851 722 5043
187	1186 1186 2224 14 1450 3799 233 2917 563
188	269 868 2304
189	1450 1450 209 8097
190	1075 3416 15576 1189 463
191	1155 2164 6372 937 14 1155 1155 293 7336 293
192	269 7610 24603 155
193	1075 7863 14238 173 6159 24943 1984 338 1984 338 985
194	300 300 300 694 797 169
195	1155 1155 293 7336 14 294 531 531 1593 7336 754 754 55
196	1075 294 7108 256 258 7060 6711 1080 10350 15462 16283 2531
197	652 2695 3292 650 8904 14 652 652 507 649 155 974
198	1155 1155 754 1024 14 1155 1155 293 7336 754
199	557 557 1202 304 1139 337 14 557 557 2084 557
200	300 300 3639 169
201	346 1220 2909
202	269 868 4051
203	1075 14732 4634 1450 8944 702 14 1075 14732 4634 8944 1754 8944 279
204	2863 531 604 940 293 14 1155 1155 293 7336 293
205	1155 1155 380 2581 9263 14 1155 1155 380 2581 2209 240
206	300 300 300 5648
207	346 993 692 2262 2764 14 346 1559 4829 993 692
208	1155 815 1155 293 2581 9263 14 1155 1155 380 2581 2209 2581
209	1450 563 1037 810
210	294 531 531 293 940 7336 14 1155 1155 293 7336 754
211	557 2544 6977 1698 157 2544 5331 14 557 3611 1019
212	269 868 8724
213	346 993 692 807 2764 14 346 807 4829 692
214	388 388 593 2844 593 15524 14 388 388 754 375 5490 155 593
215	1450 1450 2896 3704 535 55 14 1450 11524 1432 2896 3704 5209
216	1186 692 2326 14 1186 2254 1186
217	1450 5900 712 9855 14 1450 2824 5152 2824
218	1108 9162 18952 7469 2127 158
219	1075 6159 24943 7253 2874 868 2617 3804 2424 14 8962 1287 4195 926 1796 7687
220	269 8255 868 330 155 488
221	300 1519 300 14 300 993 726 993 985
222	300 300 300 2437
223	300 300 432 4004 300 2668 1038
224	346 5043 1479
225	3457 47 14168 3803 543 10417 4028 405 1186 423 320
226	3457 1809 2843 7753 3573
227	1450 563 590 155 388
228	1155 1155 293 7336 14 1609 1609 7336 754 754
229	300 300 19813 14 300 300 300 14442 1432 300 2501 3543
230	300 300 19813 14 300 300 300 14442 1432 712
231	346 4742 25616 173
232	1075 7106 11540 256 173 261 165 4219 484 13759 14 1075 7106 11540 256 173 2051 261 1432 2051 6945
233	1075 6159 24943 7253 2874 1186 2617 1199 350 14 1075 6159 24943 7253 2874 1199 3619 6860 483 1450
234	388 733 440 6903 157 181 440 14 388 733 440 5599 1914
235	269 868 330 155 2331
236	1155 1155 293 2516
